Model,MSE,RMSE,MAE,R2,MAPE(%)
XGBoost,2309.868248637374,48.06108871672982,36.11470113463511,0.994043209268867,0.7506371563482889
Baseline (Persistence),2311.8093375499334,48.081278451700236,36.11750998668442,0.9940382035026509,0.7503900704278951
Ridge Regression,2616.18598985448,51.14866557256875,38.888255443445274,0.9932532634861411,0.8094113713945172
Linear Regression,2624.6109109990293,51.230956569236824,38.98517405745213,0.9932315369256699,0.8118354738905896
Random Forest,3303.6048633130613,57.47699420910127,46.7163103861518,0.9914805171936892,0.9512441268463243
